square_id,cluster_k4,cluster_label
6063,3,High-activity core
6064,3,High-activity core
6065,3,High-activity core
6066,3,High-activity core
6067,3,High-activity core
6068,3,High-activity core
6069,3,High-activity core
6070,3,High-activity core
6071,3,High-activity core
6072,3,High-activity core
6073,3,High-activity core
6074,3,High-activity core
6075,3,High-activity core
6076,3,High-activity core
6077,3,High-activity core
6078,1,Urban mixed-use
6079,2,Moderate activity
6080,2,Moderate activity
6081,2,Moderate activity
6082,2,Moderate activity
6083,2,Moderate activity
6084,2,Moderate activity
6085,2,Moderate activity
6086,2,Moderate activity
6087,2,Moderate activity
6088,2,Moderate activity
6089,0,Low activity / peripheral
6090,0,Low activity / peripheral
6091,0,Low activity / peripheral
6092,2,Moderate activity
6093,2,Moderate activity
6094,2,Moderate activity
6095,2,Moderate activity
6096,2,Moderate activity
6097,2,Moderate activity
6098,2,Moderate activity
6099,2,Moderate activity
6100,2,Moderate activity
6101,2,Moderate activity
6102,2,Moderate activity
6103,2,Moderate activity
6104,0,Low activity / peripheral
6105,0,Low activity / peripheral
6106,0,Low activity / peripheral
6107,0,Low activity / peripheral
6108,0,Low activity / peripheral
6109,0,Low activity / peripheral
6110,0,Low activity / peripheral
6111,0,Low activity / peripheral
6112,0,Low activity / peripheral
6113,0,Low activity / peripheral
6114,0,Low activity / peripheral
6115,0,Low activity / peripheral
6116,0,Low activity / peripheral
6117,2,Moderate activity
6118,2,Moderate activity
6119,2,Moderate activity
6120,0,Low activity / peripheral
6121,0,Low activity / peripheral
6122,0,Low activity / peripheral
6123,0,Low activity / peripheral
6124,0,Low activity / peripheral
6125,0,Low activity / peripheral
6126,0,Low activity / peripheral
6127,0,Low activity / peripheral
6128,0,Low activity / peripheral
6129,0,Low activity / peripheral
6130,0,Low activity / peripheral
6131,0,Low activity / peripheral
6132,0,Low activity / peripheral
6133,0,Low activity / peripheral
6134,0,Low activity / peripheral
6135,2,Moderate activity
6136,2,Moderate activity
6137,2,Moderate activity
6138,2,Moderate activity
6139,2,Moderate activity
6140,2,Moderate activity
6141,2,Moderate activity
6142,2,Moderate activity
6143,1,Urban mixed-use
6144,1,Urban mixed-use
6145,1,Urban mixed-use
6146,1,Urban mixed-use
6147,1,Urban mixed-use
6148,3,High-activity core
6149,3,High-activity core
6150,3,High-activity core
6151,3,High-activity core
6152,3,High-activity core
6153,3,High-activity core
6154,1,Urban mixed-use
6155,3,High-activity core
6156,3,High-activity core
6157,3,High-activity core
6158,3,High-activity core
6159,3,High-activity core
6160,3,High-activity core
6161,3,High-activity core
6162,3,High-activity core
6163,3,High-activity core
6164,3,High-activity core
6165,3,High-activity core
6166,3,High-activity core
6167,3,High-activity core
6168,3,High-activity core
6169,3,High-activity core
6170,3,High-activity core
6171,3,High-activity core
6172,1,Urban mixed-use
6173,1,Urban mixed-use
6174,3,High-activity core
6175,3,High-activity core
6176,3,High-activity core
6177,3,High-activity core
6178,1,Urban mixed-use
6179,2,Moderate activity
6180,2,Moderate activity
6181,2,Moderate activity
6182,2,Moderate activity
6183,2,Moderate activity
6184,2,Moderate activity
6185,2,Moderate activity
6186,2,Moderate activity
6187,2,Moderate activity
6188,2,Moderate activity
6189,0,Low activity / peripheral
6190,0,Low activity / peripheral
6191,0,Low activity / peripheral
6192,0,Low activity / peripheral
6193,2,Moderate activity
6194,2,Moderate activity
6195,2,Moderate activity
6196,2,Moderate activity
6197,2,Moderate activity
6198,2,Moderate activity
6199,2,Moderate activity
6200,2,Moderate activity
6201,2,Moderate activity
6202,2,Moderate activity
6203,0,Low activity / peripheral
6204,0,Low activity / peripheral
6205,0,Low activity / peripheral
6206,0,Low activity / peripheral
6207,0,Low activity / peripheral
6208,0,Low activity / peripheral
6209,0,Low activity / peripheral
6210,0,Low activity / peripheral
6211,0,Low activity / peripheral
6212,0,Low activity / peripheral
6213,0,Low activity / peripheral
